share_layer,sharing_weight,task,metric,percentage_rate
Share first layer,0.9,emotion_predict,Recall,0.6601
Share first layer,0.9,emotion_predict,F1 Score,0.7045
Share first layer,0.9,cause_predict,Precision,0.7018
Share first layer,0.9,cause_predict,Recall,0.4436
Share first layer,0.9,cause_predict,F1 Score,0.5403
Share first layer,0.9,pair_predict,Precision,0.5472
Share first layer,0.9,pair_predict,Recall,0.5026
Share first layer,0.9,pair_predict,F1 Score,0.5222
Share first layer,0.1,emotion_predict,Precision,0.7444
Share first layer,0.1,emotion_predict,Recall,0.6591
Share first layer,0.1,emotion_predict,F1 Score,0.6969
Share first layer,0.1,cause_predict,Precision,0.6885
Share first layer,0.1,cause_predict,Recall,0.445
Share first layer,0.1,cause_predict,F1 Score,0.5376
Share first layer,0.1,pair_predict,Precision,0.5541
Share first layer,0.1,pair_predict,Recall,0.4906
Share first layer,0.1,pair_predict,F1 Score,0.5187
Share first layer,0.2,emotion_predict,Precision,0.7384
Share first layer,0.2,emotion_predict,Recall,0.6972
Share first layer,0.2,emotion_predict,F1 Score,0.7164
Share first layer,0.2,cause_predict,Precision,0.6975
Share first layer,0.2,cause_predict,Recall,0.4525
Share first layer,0.2,cause_predict,F1 Score,0.546
Share first layer,0.2,pair_predict,Precision,0.5544
Share first layer,0.2,pair_predict,Recall,0.4926
Share first layer,0.2,pair_predict,F1 Score,0.5201
Share first layer,0.3,emotion_predict,Precision,0.7588
Share first layer,0.3,emotion_predict,Recall,0.6427
Share first layer,0.3,emotion_predict,F1 Score,0.6937
Share first layer,0.3,cause_predict,Precision,0.7018
Share first layer,0.3,cause_predict,Recall,0.4424
Share first layer,0.3,cause_predict,F1 Score,0.5387
Share first layer,0.3,pair_predict,Precision,0.5774
Share first layer,0.3,pair_predict,Recall,0.4732
Share first layer,0.3,pair_predict,F1 Score,0.518
Share first layer,0.4,emotion_predict,Precision,0.7545
Share first layer,0.4,emotion_predict,Recall,0.6537
Share first layer,0.4,emotion_predict,F1 Score,0.6991
Share first layer,0.4,cause_predict,Precision,0.7026
Share first layer,0.4,cause_predict,Recall,0.4152
Share first layer,0.4,cause_predict,F1 Score,0.5128
Share first layer,0.4,pair_predict,Precision,0.5597
Share first layer,0.4,pair_predict,Recall,0.4919
Share first layer,0.4,pair_predict,F1 Score,0.5214
Share first layer,0.5,emotion_predict,Precision,0.7532
Share first layer,0.5,emotion_predict,Recall,0.6634
Share first layer,0.5,emotion_predict,F1 Score,0.7043
Share first layer,0.5,cause_predict,Precision,0.688
Share first layer,0.5,cause_predict,Recall,0.4498
